Time Speed (cm/s),Speed (cm/s),Time Running Definition,Running Definition
1916.5,0.0,1916.5,0.0
1916.75,0.0,1916.75,0.0
1917.0,0.0,1917.0,0.0
1917.25,0.0,1917.25,0.0
1917.5,0.0,1917.5,0.0
1917.75,0.0,1917.75,0.0
1918.0,0.0,1918.0,0.0
1918.25,0.0,1918.25,0.0
1918.5,0.0,1918.5,0.0
1918.75,0.0,1918.75,0.0
1919.0,0.0,1919.0,0.0
1919.25,0.0,1919.25,0.0
1919.5,0.0,1919.5,0.0
1919.75,0.0,1919.75,0.0
1920.0,0.0,1920.0,0.0
1920.25,0.0,1920.25,0.0
1920.5,0.0,1920.5,0.0
1920.75,0.0,1920.75,0.0
1921.0,0.0,1921.0,0.0
1921.25,0.0,1921.25,0.0
1921.5,0.0,1921.5,0.0
1921.75,0.0,1921.75,0.0
1922.0,0.0,1922.0,0.0
1922.25,0.0,1922.25,0.0
1922.5,0.0,1922.5,0.0
1922.75,0.0,1922.75,0.0
1923.0,0.0,1923.0,0.0
1923.25,0.0,1923.25,0.0
1923.5,0.0,1923.5,0.0
1923.75,0.0,1923.75,0.0
1924.0,0.0,1924.0,0.0
1924.25,0.0,1924.25,0.0
1924.5,0.0,1924.5,0.0
1924.75,0.0,1924.75,0.0
1925.0,0.0,1925.0,0.0
1925.25,0.0,1925.25,0.0
1925.5,0.0,1925.5,0.0
1925.75,0.0,1925.75,0.0
1926.0,0.0,1926.0,0.0
1926.25,0.0,1926.25,0.0
1926.5,0.0,1926.5,0.0
1926.75,0.0,1926.75,0.0
1927.0,0.0,1927.0,0.0
1927.25,0.0,1927.25,0.0
1927.5,0.0,1927.5,0.0
1927.75,0.0,1927.75,0.0
1928.0,0.0,1928.0,0.0
1928.25,0.0,1928.25,0.0
1928.5,0.0,1928.5,0.0
1928.75,0.0,1928.75,0.0
1929.0,0.0,1929.0,0.0
1929.25,0.0,1929.25,0.0
1929.5,0.0,1929.5,0.0
1929.75,0.0,1929.75,0.0
1930.0,0.0,1930.0,0.0
1930.25,0.0,1930.25,0.0
1930.5,0.0,1930.5,0.0
1930.75,0.0,1930.75,0.0
1931.0,0.0,1931.0,0.0
1931.25,0.0,1931.25,0.0
1931.5,0.0,1931.5,0.0
1931.75,0.0,1931.75,0.0
1932.0,0.0,1932.0,0.0
1932.25,0.0,1932.25,0.0
1932.5,0.0,1932.5,0.0
1932.75,0.0,1932.75,0.0
1933.0,0.0,1933.0,0.0
1933.25,0.0,1933.25,0.0
1933.5,0.0,1933.5,0.0
1933.75,0.0,1933.75,0.0
1934.0,0.0,1934.0,0.0
1934.25,0.0,1934.25,0.0
1934.5,0.0,1934.5,0.0
1934.75,0.0,1934.75,0.0
1935.0,0.0,1935.0,0.0
1935.25,0.0,1935.25,0.0
1935.5,0.0,1935.5,0.0
1935.75,0.0,1935.75,0.0
1936.0,0.0,1936.0,0.0
1936.25,0.0,1936.25,0.0
1936.5,0.0,1936.5,0.0
1936.75,0.0,1936.75,0.0
1937.0,0.0,1937.0,0.0
1937.25,0.0,1937.25,0.0
1937.5,0.0,1937.5,0.0
1937.75,0.0,1937.75,0.0
1938.0,0.0,1938.0,0.0
1938.25,0.0,1938.25,0.0
1938.5,0.0,1938.5,0.0
1938.75,0.0,1938.75,0.0
1939.0,0.0,1939.0,0.0
1939.25,0.0,1939.25,0.0
1939.5,0.0,1939.5,0.0
1939.75,0.0,1939.75,0.0
1940.0,0.0,1940.0,0.0
1940.25,0.0,1940.25,0.0
1940.5,0.0,1940.5,0.0
1940.75,0.0,1940.75,0.0
1941.0,0.0,1941.0,0.0
1941.25,0.0,1941.25,0.0
1941.5,0.0,1941.5,0.0
1941.75,0.0,1941.75,0.0
1942.0,0.0,1942.0,0.0
1942.25,0.0,1942.25,0.0
1942.5,0.0,1942.5,0.0
1942.75,0.0,1942.75,0.0
1943.0,0.0,1943.0,0.0
1943.25,0.0,1943.25,0.0
1943.5,-0.3711,1943.5,0.0
1943.75,0.0,1943.75,0.0
1944.0,0.0,1944.0,0.0
1944.25,0.0,1944.25,0.0
1944.5,0.0,1944.5,0.0
1944.75,0.0,1944.75,0.0
1945.0,0.0,1945.0,0.0
1945.25,0.0,1945.25,0.0
1945.5,0.0,1945.5,0.0
1945.75,0.0,1945.75,0.0
1946.0,0.0,1946.0,0.0
1946.25,0.0,1946.25,0.0
1946.5,0.0,1946.5,0.0
1946.75,0.0,1946.75,0.0
1947.0,0.0,1947.0,0.0
1947.25,0.0,1947.25,0.0
1947.5,0.0,1947.5,0.0
1947.75,0.0,1947.75,0.0
1948.0,0.0,1948.0,0.0
1948.25,0.0,1948.25,0.0
1948.5,0.0,1948.5,0.0
1948.75,0.0,1948.75,0.0
1949.0,0.0,1949.0,0.0
1949.25,0.0,1949.25,0.0
1949.5,0.0,1949.5,0.0
1949.75,0.0,1949.75,0.0
1950.0,0.0,1950.0,0.0
1950.25,0.0,1950.25,0.0
1950.5,0.0,1950.5,0.0
1950.75,0.0,1950.75,0.0
1951.0,0.0,1951.0,0.0
1951.25,0.0,1951.25,0.0
1951.5,0.0,1951.5,0.0
1951.75,0.0,1951.75,0.0
1952.0,0.0,1952.0,0.0
1952.25,0.0,1952.25,0.0
1952.5,0.0,1952.5,0.0
1952.75,0.0,1952.75,0.0
1953.0,0.0,1953.0,0.0
1953.25,0.0,1953.25,0.0
1953.5,0.0,1953.5,0.0
1953.75,0.0,1953.75,0.0
1954.0,0.0,1954.0,0.0
1954.25,0.0,1954.25,0.0
1954.5,0.0,1954.5,0.0
1954.75,0.0,1954.75,0.0
1955.0,0.0,1955.0,0.0
1955.25,0.0,1955.25,0.0
1955.5,0.0,1955.5,0.0
1955.75,0.0,1955.75,0.0
1956.0,0.0,1956.0,0.0
1956.25,0.0,1956.25,0.0
1956.5,0.0,1956.5,0.0
1956.75,0.0,1956.75,0.0
1957.0,0.0,1957.0,0.0
1957.25,0.0,1957.25,0.0
1957.5,0.0,1957.5,0.0
1957.75,0.0,1957.75,0.0
1958.0,0.0,1958.0,0.0
1958.25,0.0,1958.25,0.0
1958.5,0.0,1958.5,0.0
1958.75,0.0,1958.75,0.0
1959.0,0.0,1959.0,0.0
1959.25,0.0,1959.25,0.0
1959.5,0.0,1959.5,0.0
1959.75,0.0,1959.75,0.0
1960.0,0.0,1960.0,0.0
1960.25,0.0,1960.25,0.0
1960.5,0.0,1960.5,0.0
1960.75,0.0,1960.75,0.0
1961.0,0.0,1961.0,0.0
1961.25,0.0,1961.25,0.0
1961.5,0.0,1961.5,0.0
1961.75,0.0,1961.75,0.0
1962.0,0.0,1962.0,0.0
1962.25,0.0,1962.25,0.0
1962.5,0.0,1962.5,0.0
1962.75,0.0,1962.75,0.0
1963.0,0.0,1963.0,0.0
1963.25,0.0,1963.25,0.0
1963.5,0.0,1963.5,0.0
1963.75,0.0,1963.75,0.0
1964.0,0.0,1964.0,0.0
1964.25,0.0,1964.25,0.0
1964.5,0.0,1964.5,0.0
1964.75,0.0,1964.75,0.0
1965.0,0.0,1965.0,0.0
1965.25,0.0,1965.25,0.0
1965.5,0.0,1965.5,0.0
1965.75,0.0,1965.75,0.0
1966.0,0.0,1966.0,0.0
1966.25,0.0,1966.25,0.0
1966.5,0.0,1966.5,0.0
1966.75,0.0,1966.75,0.0
