intensity,lifetime,sleep_states
4.56E+05,4.1742,2
4.57E+05,4.1886,2
4.55E+05,4.1947,2
4.58E+05,4.2033,2
4.59E+05,4.2051,2
4.62E+05,4.1755,2
4.58E+05,4.1779,2
1.30E+05,4.2183,3
1.26E+05,4.2025,3
1.35E+05,4.2478,3
1.27E+05,4.2253,3
1.33E+05,4.2069,3
1.30E+05,4.2119,3
1.29E+05,4.192,3
1.32E+05,4.2017,3
1.32E+05,4.2092,3
1.32E+05,4.208,3
1.32E+05,4.2087,3
1.25E+05,4.2112,3
1.34E+05,4.2206,3
1.30E+05,4.2298,3
1.30E+05,4.2294,3
2.57E+05,4.2322,3
2.49E+05,4.2351,3
2.52E+05,4.2326,3
2.48E+05,4.2363,3
2.46E+05,4.2302,3
2.42E+05,4.2258,3
2.40E+05,4.2189,3
2.50E+05,4.2632,3
2.49E+05,4.2598,3
2.47E+05,4.2531,3
2.45E+05,4.255,3
4.08E+05,4.2194,3
3.94E+05,4.1943,3
4.01E+05,4.2381,3
3.89E+05,4.2457,3
3.94E+05,4.2218,3
1.18E+05,4.1888,3
1.07E+05,4.1525,3
1.14E+05,4.1992,3
1.14E+05,4.1989,3
1.16E+05,4.2075,3
1.17E+05,4.2085,3
1.16E+05,4.2105,3
1.19E+05,4.2133,3
1.11E+05,4.1848,3
1.16E+05,4.2055,3
1.19E+05,4.2125,3
1.17E+05,4.2119,3
1.48E+05,4.239,3
1.56E+05,4.2572,3
1.36E+05,4.2418,3
1.38E+05,4.2605,3
1.38E+05,4.2722,3
1.35E+05,4.2361,3
1.39E+05,4.2652,3
1.34E+05,4.2652,3
1.39E+05,4.2762,3
1.38E+05,4.2689,3
1.40E+05,4.2879,3
1.38E+05,4.2712,3
1.36E+05,4.2607,3
1.41E+05,4.2663,3
1.98E+05,4.2065,3
2.12E+05,4.23,3
1.99E+05,4.1985,3
1.99E+05,4.2094,3
1.99E+05,4.2098,3
2.00E+05,4.1932,3
2.03E+05,4.2178,3
1.98E+05,4.2088,3
2.03E+05,4.2278,3
2.03E+05,4.2283,3
2.06E+05,4.2494,3
2.04E+05,4.248,3
2.00E+05,4.2322,3
2.03E+05,4.2423,3
2.00E+05,4.2311,3
2.02E+05,4.2281,3
1.99E+05,4.2278,3
2.05E+05,4.2441,3
2.06E+05,4.2482,3
2.04E+05,4.2124,3
2.08E+05,4.2293,3
1.98E+05,4.2098,3
2.06E+05,4.2356,3
2.09E+05,4.2432,3
2.08E+05,4.2469,3
2.06E+05,4.2447,3
2.04E+05,4.1984,3
2.05E+05,4.2169,3
2.08E+05,4.2311,3
2.98E+05,4.2584,3
2.81E+05,4.2221,3
2.88E+05,4.2456,3
2.96E+05,4.2701,3
2.88E+05,4.2405,3
2.91E+05,4.2771,3
3.09E+05,4.2988,3
2.97E+05,4.2906,3
3.36E+05,4.2716,3
3.49E+05,4.2798,3
3.37E+05,4.271,3
3.46E+05,4.2939,3
3.11E+05,4.2305,3
3.27E+05,4.2483,3
3.48E+05,4.2833,3
